ID,q_cfs_da,q_cfs_no_da
3578,5.438248546621231,5.4382485465193
3579,432.07828161501214,434.7676878690528
3580,1227.8420547201933,1398.917697516875
3581,1994.0638578042972,2528.0303430788354
3582,28.83795141218487,28.859523033719864
3583,1333.4723633040944,1241.6250663458857
3584,3.750528581826704,4.163761985230294
3585,8.506957628937364,8.506704989369993
3586,37.88102736277229,37.88102736277229
3587,23.860306688751052,23.860306688751052
3588,203.31905199130904,2140.3880732040598
3589,95.13653140114367,95.13653140114367
3590,276.75990351938896,2195.450926300732
3591,396.3770566732346,2268.3691787623147
3592,408.46095075262303,2273.4275191358056
3593,5862.376035771078,5477.1570386585645
3594,175.83641826299404,175.85529508249405
3595,209.76127642854456,210.05358069927712
3596,356.81534044086976,358.72683506517814
3597,110.3666127375361,110.54491198021907
3598,244.587199912086,246.66945183187025
3599,102.14407481599893,102.28364634437123
3600,289.52682408288723,291.1363640620157
3601,359.68581720338875,368.6396176993592
3602,896.7996755397584,921.9532604490961
3603,931.4979604927353,1017.3785888067048
3604,53.72048400747063,55.736885296057764
3605,156.04506856672393,171.39025984142535
3606,175.82092260410144,179.27558976044693
3607,340.6902437275852,364.9375540975358
3608,133.29033039391481,133.6550999232168
3609,323.92955052039827,327.671280261375
3610,347.2231356219038,365.55875336543033
3611,792.4752543710869,880.1052167613682
3612,770.677564300633,893.2782806500156
3613,1320.717914190715,1592.0264946960567
3614,1315.8390939466276,1652.9895365478178
3615,80.71691006053912,86.0401271652018
3616,160.28827562366706,178.68480538043167
3617,561.30316718025,628.8963029444886
3618,56.03159772338756,56.031597716455735
3619,92.8833678186529,92.88336762754072
3620,100.9028538517192,100.90285149605724
3621,2640.9316832968843,3145.39061053368
3622,2728.207015645422,3331.091490360681
3623,90.50573795896013,90.50573723272635
3624,129.76649626904015,129.76648116261063
3625,198.704917942045,198.70471886717218
3626,2774.686382849009,3463.5093531315993
3627,3032.1691837490603,3654.074991237175
3628,3151.278437063496,3747.6506003746395
3629,113.7882705190416,114.40635028837744
3630,195.55608688118528,202.86471631847914
3631,219.4829544674475,235.10925455588585
3632,121.81878127304049,122.33134461577488
3633,196.4800743238144,202.90626015515355
3634,182.56961920798574,182.56961914818146
3635,363.146669508037,363.1466679712331
3636,431.8896869653788,431.88966548097983
3637,160.93950165109442,160.93950093804597
3638,178.9130811143814,178.9130663723938
3639,589.4378582921619,589.4376422807728
3640,3390.8571281855975,3931.8335429300905
3641,3529.7915116256536,4030.4486989165757
3642,3521.808280813618,4030.1056158104343
3643,1162.3873260741566,1162.3852222878497
3644,1370.2589096211418,1370.2454386348797
3645,1464.915005828812,1464.856019634284
3646,514.7729206451376,558.4930570751369
3647,739.4311304974467,665.5509017815776
3648,844.8397266117292,797.5061426776368
3649,893.7944188227931,860.746772370333
3650,932.9255752772248,891.4552276416676
3651,50.1549313229384,50.15742713685468
3652,118.99722752596871,119.03990963651107
3653,53.21655499004688,53.21972494931078
3654,87.4717564070438,87.52586199000343
3655,163.61021024205232,164.05977821085963
3656,38.37599966487679,38.377724955444904
3657,127.68822403582486,127.71905394916037
3658,225.1282594935845,225.39461107990567
3659,316.34392548304254,317.8461040264258
3660,1120.584706924272,1035.6067281863907
3661,1167.9136934304593,1068.1290867168948
3662,25.93125359063839,26.146654051979276
3663,63.60130611768475,66.12738659510386
3664,94.66553872791731,107.99947979944935
3665,1227.778902466568,1113.2224101989057
3666,1289.5019635631159,1166.5576815425334
3667,1252.2734708277628,1174.0082479603718
3668,528.665479377281,539.8479618926605
3669,596.615975279536,638.6686858164112
3670,553.0766042621127,670.390731695286
3671,23.389771664595067,24.396358028379286
3672,103.79611211532779,113.57102054458761
3673,1675.5345845983684,1893.9516907158645
3674,1460.5063981178162,1987.8381895708528
3675,1116.840624541053,2060.8451775101457
3676,689.7947783370679,2092.647831141667
3677,8.438629561759976,27.77427591484631
3678,17.566082390817396,83.75633077064448
3679,5005.440492001103,5360.12735333103
3680,5093.28089171495,5435.251982193516
3681,5176.998015565615,5506.367674790228
3682,5179.7632063412275,5521.015088965952
3683,5165.755377573528,5527.726498550718
3684,5151.753205639814,5510.855677848215
3685,5318.674748778721,5508.2299027794215
3686,5328.673971535898,5496.172857715476
3687,5319.385527075858,5482.75996695987
3688,5418.118725338695,5474.835167097898
3689,5426.339022021233,5463.232679954737
3690,161.84412448921924,161.84412448921924
3691,235.96648599462563,235.96648599462563
3692,272.97468808090645,272.97468808090645
3693,304.75918564900496,304.75918564900496
3694,26.96683363457198,26.96683363457198
3695,93.34845932960557,93.34845932960557
3696,108.79767003498229,108.79767003498229
3697,10.307656788740141,10.307656788740141
3698,21.78994762386092,21.78994762386092
3700,11.72485419986531,11.72485419986531
3701,5703.149703888767,5469.706778148788
3702,5704.677259089596,5465.43102514436
3704,221.93532071090817,221.93532071090817
3705,493.1837385793397,2301.4937874257953
3706,578.9034492537728,2324.4045274016084
3711,6328.751676437891,7163.320407158867
