Shape_Area,ID,GridID,AREA,PERCENTAGE
9686.762810180673114,5781887.000000000000000,3702,1131.317113925270860,11.679000880833687
9686.762810180673114,5781887.000000000000000,3704,8555.445696738763218,88.320999124156231
174362.791611053427914,5781909.000000000000000,3711,174362.791605812410126,99.999999996994191
290605.025373707001563,5781913.000000000000000,3711,153060.499356396874646,52.669598249227413
416532.473514697980136,5781903.000000000000000,3706,416532.473508793802466,99.999999998582538
1191474.136897374410182,5781889.000000000000000,3701,48786.010989642214554,4.094592528603440
1191474.136897374410182,5781889.000000000000000,3702,2677.268479595962162,0.224702190059083
1191474.136897374410182,5781889.000000000000000,3704,177855.575450726115378,14.927355109349335
3400070.640496553387493,5781907.000000000000000,3593,46756.261020552352420,1.375155576583079
3400070.640496553387493,5781907.000000000000000,3706,256476.771015371428803,7.543277717839270
3400070.640496553387493,5781907.000000000000000,3711,2878886.386154861655086,84.671369819964184
10645790.948283268138766,5781911.000000000000000,3587,2015.494699438358339,0.018932315214807
10645790.948283268138766,5781911.000000000000000,3589,14710.615416310238288,0.138182456219305
10645790.948283268138766,5781911.000000000000000,3590,2439.912493186605843,0.022919034433792
10645790.948283268138766,5781911.000000000000000,3591,79608.156753481220221,0.747789968262703
10645790.948283268138766,5781911.000000000000000,3700,117115.413310170726618,1.100110023568109
10645790.948283268138766,5781911.000000000000000,3705,1920620.205243036849424,18.041122680064976
10645790.948283268138766,5781911.000000000000000,3711,824368.967111718957312,7.743614082940978
13319316.354806756600738,5781905.000000000000000,3588,2026.791124633348318,0.015216930588948
13319316.354806756600738,5781905.000000000000000,3590,7292.426359739209147,0.054750755710577
13319316.354806756600738,5781905.000000000000000,3593,3325886.324763659853488,24.970398150828466
13319316.354806756600738,5781905.000000000000000,3676,38272.797413400461664,0.287348061971577
13319316.354806756600738,5781905.000000000000000,3691,140971.668876400275622,1.058400184522425
13319316.354806756600738,5781905.000000000000000,3692,43909.388343931954296,0.329666982705803
13319316.354806756600738,5781905.000000000000000,3693,16784.432112427166430,0.126015717814000
13319316.354806756600738,5781905.000000000000000,3694,656077.071654659463093,4.925756353988021
13319316.354806756600738,5781905.000000000000000,3695,2587941.123160066548735,19.429984649520804
13319316.354806756600738,5781905.000000000000000,3696,91827.600135301006958,0.689431782301362
13319316.354806756600738,5781905.000000000000000,3697,128271.381459310738137,0.963047787456594
13319316.354806756600738,5781905.000000000000000,3701,234.949393374474965,0.001763974870149
13319316.354806756600738,5781905.000000000000000,3702,474321.474613374157343,3.561154806884650
13319316.354806756600738,5781905.000000000000000,3704,2030410.846795922610909,15.244107075084040
13319316.354806756600738,5781905.000000000000000,3705,329310.146877907915041,2.472425296506036
13319316.354806756600738,5781905.000000000000000,3706,2232869.999322636052966,16.764148698343849
13319316.354806756600738,5781905.000000000000000,3711,327966.196357799810357,2.462335060008102
14568901.753414126113057,5781885.000000000000000,3688,161232.575187948066741,1.106689975105119
14568901.753414126113057,5781885.000000000000000,3689,237570.633811003499432,1.630669475517126
14568901.753414126113057,5781885.000000000000000,3701,4.984413642582105,0.000034212693084
18394717.289311263710260,5781233.000000000000000,3628,24163.993524951416475,0.131363766808162
18394717.289311263710260,5781233.000000000000000,3640,68892.927819389995420,0.374525613717489
18394717.289311263710260,5781233.000000000000000,3641,463686.390187237062491,2.520758448713285
18394717.289311263710260,5781233.000000000000000,3679,206562.745320743124466,1.122946017989479
18394717.289311263710260,5781233.000000000000000,3680,320330.557395211420953,1.741426912722100
36974969.190479524433613,5781729.000000000000000,3711,1571890.508144557941705,4.251228716505043
37796345.607032611966133,5781811.000000000000000,3608,152.539220425724693,0.000403581928295
37796345.607032611966133,5781811.000000000000000,3609,31201.216575970036502,0.082550881771397
42941680.806808084249496,5781919.000000000000000,3587,1339.929674975910075,0.003120347526694
49674308.855292744934559,5781727.000000000000000,3704,7798570.017365241423249,15.699403166500851
49674308.855292744934559,5781727.000000000000000,3711,5462020.484717046841979,10.995664782430232
54825540.204775370657444,5781221.000000000000000,3615,150619.665873273188481,0.274725365788834
54825540.204775370657444,5781221.000000000000000,3617,295898.201260306115728,0.539708683498814
54825540.204775370657444,5781221.000000000000000,3622,37437.348595470983128,0.068284504731994
54825540.204775370657444,5781221.000000000000000,3623,40238.266887543875782,0.073393288487906
54825540.204775370657444,5781221.000000000000000,3624,437.859657252681870,0.000798641756410
54825540.204775370657444,5781221.000000000000000,3625,5207.779263909468682,0.009498819791758
54825540.204775370657444,5781221.000000000000000,3629,3587224.244408466853201,6.542980207782824
54825540.204775370657444,5781221.000000000000000,3630,1402203.261345532024279,2.557573087484870
54825540.204775370657444,5781221.000000000000000,3634,5598724.877566961571574,10.211891860354722
54825540.204775370657444,5781221.000000000000000,3635,5948920.069212484173477,10.850636486194306
54825540.204775370657444,5781221.000000000000000,3636,2404511.844401280395687,4.385751303900229
54825540.204775370657444,5781221.000000000000000,3637,5139274.611560144461691,9.373869536651656
54825540.204775370657444,5781221.000000000000000,3638,669987.566115429508500,1.222035503185198
54825540.204775370657444,5781221.000000000000000,3639,13505836.759127849712968,24.634206445906528
54825540.204775370657444,5781221.000000000000000,3641,29093.079544587013515,0.053064829705140
54825540.204775370657444,5781221.000000000000000,3642,7376.436585815979925,0.013454380126971
54825540.204775370657444,5781221.000000000000000,3643,5201231.659332321956754,9.486877174224885
54825540.204775370657444,5781221.000000000000000,3644,7446038.343619422055781,13.581331466700009
54825540.204775370657444,5781221.000000000000000,3645,3142747.149109091144055,5.732268459865270
54825540.204775370657444,5781221.000000000000000,3646,45963.027040864937590,0.083835064587036
