ID,Shape_Area,GridID,AREA,PERCENTAGE
5781251.000000000000000,8588699.992489814758301,608,163648.821204262960237,0.177034011516517
5781251.000000000000000,8588699.992489814758301,609,65838.859388797485735,0.071223961807353
5781263.000000000000000,3170700.007510185241699,592,66777.905391926135053,0.195679863498716
5781263.000000000000000,3170700.007510185241699,596,161259.815401547646616,0.472541007095114
5781263.000000000000000,3170700.007510185241699,611,12001.550555658384837,0.035168245555485
5781269.000000000000000,19832399.993991851806641,590,172953.443945563572925,0.081025774725300
5781269.000000000000000,19832399.993991851806641,608,463170.857054501189850,0.216987743446346
5781289.000000000000000,9835200.007510185241699,589,1856521.999992668628693,1.753809115822513
5781289.000000000000000,9835200.007510185241699,590,4207526.554159215651453,3.974743324226084
5781289.000000000000000,9835200.007510185241699,591,827136.000005764421076,0.781374342367507
5781289.000000000000000,9835200.007510185241699,592,3264823.094614319037646,3.084195342099404
5781289.000000000000000,9835200.007510185241699,593,109847.000000339001417,0.103769667123315
5781289.000000000000000,9835200.007510185241699,594,1022205.999995849560946,0.965652010074897
5781289.000000000000000,9835200.007510185241699,595,2386336.612595012411475,2.254311505388396
5781289.000000000000000,9835200.007510185241699,596,3426696.943638298660517,3.237113450278383
5781289.000000000000000,9835200.007510185241699,597,622774.158235125360079,0.588318908052675
5781289.000000000000000,9835200.007510185241699,598,2381384.252507865428925,2.249633136769167
5781289.000000000000000,9835200.007510185241699,599,150066.999998956918716,0.141764478192743
5781289.000000000000000,9835200.007510185241699,600,5464098.135547778569162,5.161794538341229
5781289.000000000000000,9835200.007510185241699,601,2497940.000006219372153,2.359740387027946
5781289.000000000000000,9835200.007510185241699,602,251202.999997372739017,0.237305085164137
5781289.000000000000000,9835200.007510185241699,603,699795.000001943204552,0.661078538371896
5781289.000000000000000,9835200.007510185241699,604,2771111.360622467007488,2.617798423739768
5781289.000000000000000,9835200.007510185241699,605,1897724.000002060551196,1.792731597326571
5781289.000000000000000,9835200.007510185241699,606,120120.000000543892384,0.113474308946722
5781289.000000000000000,9835200.007510185241699,607,2232180.978353125043213,2.108684598414016
5781289.000000000000000,9835200.007510185241699,608,2252089.323671573307365,2.127491505900474
5781289.000000000000000,9835200.007510185241699,609,3951135.136557719204575,3.732536872910163
5781289.000000000000000,9835200.007510185241699,610,1164541.999987425748259,1.100113209185883
5781289.000000000000000,9835200.007510185241699,611,3131216.449442718643695,2.957980542470129
5781289.000000000000000,9835200.007510185241699,612,1808703.000005935318768,1.708635722732326
5781289.000000000000000,9835200.007510185241699,613,2847527.999995653517544,2.689987279424616
5781289.000000000000000,9835200.007510185241699,614,2975014.000005957670510,2.810420061238515
5781289.000000000000000,9835200.007510185241699,615,5161631.545353840105236,4.876062043323137
5781289.000000000000000,9835200.007510185241699,616,1475564.999991245567799,1.393928726933218
5781289.000000000000000,9835200.007510185241699,617,2034072.103396423393860,1.921536182814428
5781289.000000000000000,9835200.007510185241699,618,1583816.000000796746463,1.496190693456859
5781289.000000000000000,9835200.007510185241699,619,3061311.000001233071089,2.891942642312398
5781289.000000000000000,9835200.007510185241699,620,1592084.000004366505891,1.504001262777308
5781289.000000000000000,9835200.007510185241699,621,2781561.346774233039469,2.627670259879204
5781289.000000000000000,9835200.007510185241699,622,2103951.898291441146284,1.987549847774592
5781289.000000000000000,9835200.007510185241699,623,3349918.280178589746356,3.164582599646482
5781289.000000000000000,9835200.007510185241699,624,1927596.888988429913297,1.820951755784405
5781289.000000000000000,9835200.007510185241699,625,4051695.690465574152768,3.827533870595326
5781289.000000000000000,9835200.007510185241699,628,5576304.637247604317963,5.267793166710020
5781289.000000000000000,9835200.007510185241699,629,2907649.873838571831584,2.746782884543466
5781289.000000000000000,9835200.007510185241699,630,3067929.602472141385078,2.898195067733443
5781289.000000000000000,9835200.007510185241699,631,4273566.920910470187664,4.037129979068348
5781325.000000000000000,9814499.971461296081543,595,24216.387408502763719,0.022924753107950
5781325.000000000000000,9814499.971461296081543,607,94645.138436000313959,0.089597031750128
5781325.000000000000000,9814499.971461296081543,615,154236.454639717412647,0.146009913998134
5781325.000000000000000,9814499.971461296081543,630,313335.397531396592967,0.296622964739422
5781325.000000000000000,9814499.971461296081543,631,14594.079085638752076,0.013815671769386
5781711.000000000000000,5143500.019526481628418,604,25823.639388776566193,0.046646620168301
5781711.000000000000000,5143500.019526481628418,607,2096.883207333112750,0.003787712221240
5781711.000000000000000,5143500.019526481628418,623,120307.840924369462300,0.217318483827129
5781711.000000000000000,5143500.019526481628418,625,272055.353747554647271,0.491428127536914
5781711.000000000000000,5143500.019526481628418,628,76330.362748563304194,0.137879614288153
5781711.000000000000000,5143500.019526481628418,629,75.126158376527840,0.000135704395563
5781879.000000000000000,6110999.971461296081543,596,35445.240960810871911,0.053890542804022
5781879.000000000000000,6110999.971461296081543,597,117705.841768280006363,0.178958628356067
5781879.000000000000000,6110999.971461296081543,598,3522.747481586508457,0.005355945362428
5781879.000000000000000,6110999.971461296081543,600,77546.864450541295810,0.117901374196047
5781879.000000000000000,6110999.971461296081543,617,68549.896609278657706,0.104222486215231
5781879.000000000000000,6110999.971461296081543,621,128278.653214031903190,0.195033411100698
5781879.000000000000000,6110999.971461296081543,622,75128.101705974360812,0.114223914720938
5781879.000000000000000,6110999.971461296081543,623,69538.878892187189194,0.105726123674161
5781879.000000000000000,6110999.971461296081543,624,51137.111008509898966,0.077748284254155
5781883.000000000000000,6216300.006008148193359,625,3056.997634536692658,0.004569099395526
5781893.000000000000000,1262700.000000000000000,625,41643.958160978138039,0.306418151701239
