ID,q_cfs_da,q_cfs_no_da
3578,3.1425721275102014,3.1425721282333767
3579,282.51733204866474,281.4862972407064
3580,819.9199792398001,867.7758805932499
3581,1696.1596288685464,1544.2882780753416
3594,147.63483295691213,147.62631278366754
3595,166.18271510260342,166.0464094965202
3596,239.32009211518067,238.026141164086
3597,64.96348757117067,65.03575351116584
3598,150.39933366824684,151.21128606579754
3599,58.93247758764131,58.99168524316454
3600,168.1266553880304,168.77273916619555
3601,210.56241553022116,214.16310890855038
3602,570.7115400844037,579.2076027745172
3603,612.8191833936289,640.9047135677175
3604,32.06829641419399,32.89866050130735
3605,94.02795020845478,100.13221140335165
3606,102.13242187205356,103.54244328959452
3607,202.44800376155254,211.90803761045004
3608,77.23318856186603,77.38950157925309
3609,189.03545241846257,190.5468938970396
3610,205.48665604354974,212.9745415381913
3611,478.2062587663029,512.7669558580042
3612,517.723271871491,520.5388753557269
3613,978.0796649700922,986.5065351581815
3614,1084.3345091650797,1026.4971325898794
3615,50.16718504900059,52.38702063919645
3616,113.52681552856599,106.13734739709814
3617,388.7414705438516,371.3119951515528
3618,32.73038833209109,32.73038834069407
3619,54.18269480106636,54.18269508201907
3620,58.90290256544465,58.902907318415174
3621,2178.300656211482,1924.0092130274213
3622,2290.6478275340687,2040.39381990175
3623,52.913123449264845,52.91312431669628
3624,75.89082002152847,75.89084336697823
3625,116.12460053677354,116.12489832616447
3626,2323.0853228168917,2122.0786519443964
3627,2449.894362606764,2249.4332046924305
3628,2514.278757861944,2312.5201565626617
3634,164.4008665058996,164.40086658938668
3635,329.08114926951487,329.08115182596043
3636,391.11376984327944,391.11379654578576
3637,146.5871683159842,146.5871691663831
3638,162.50964848417814,162.5096732067286
3639,531.6174069716711,531.6177018251879
3640,2655.5638074394155,2429.4429736341062
3641,2745.2286548856932,2495.2054690520044
3642,2736.00769526895,2495.7428158994585
3643,1048.6915119885718,1048.682542700145
3644,1231.4892794660154,1231.3960499915415
3645,1304.8277120207817,1304.3815029445052
3679,4009.570291670049,3740.4733315361696
3680,4022.8292946474685,3764.154624426408
3681,4045.5129287777254,3793.8530208082834
3682,4030.6512100962,3800.8277437917686
3683,3990.555950532254,3808.5007359877054
3684,3896.819171880786,3797.728508940312
3685,3799.7525171604275,3833.263315953072
3686,3616.6108763413536,3830.6588837940485
3687,3407.5363239119542,3825.17720225073
3688,3205.9793372125405,3842.8429468529393
3689,3168.351906405169,3841.037487683683
3690,57.51791858834491,57.51791858834491
3691,85.28197376254082,85.28197376254082
3692,100.15245330610767,100.15245330610767
3693,113.61118137280292,113.61118137280292
3701,3230.3796693990553,3892.2463265122374
3582,14.290951738385077,14.290951738385077
3583,1135.7471512057814,786.07050437203
3584,1.9881770542309736,1.9881770542309736
3585,4.0014392501405975,4.0014392501405975
3586,18.739688111682028,18.739688111682028
3587,11.794750862423289,11.794750862423289
3588,1697.1397225256899,1343.463385354548
3589,47.55485274921863,47.55485274921863
3590,1745.0982053943733,1391.9981022847876
3591,1781.8818473907027,1429.4322298857817
3592,1786.1793756149452,1433.8118634407563
3629,106.38318826874526,104.71927909098738
3630,180.82218814195215,166.5879959862363
3631,243.27212780892282,182.22018117770088
3632,63.32240595249739,62.301204882922896
3633,114.5846638780531,104.05219949477082
3646,543.2015431022963,349.92212679927854
3647,734.1076298848741,408.76235597472083
3648,831.8924130642666,483.61015006814023
3649,865.4707055232317,521.7993454223754
3650,886.8974784855035,542.7439348759024
3651,24.280860142191266,24.280860142191266
3652,59.11538422477494,59.11538422477494
3653,25.876597643858975,25.876597643858975
3654,42.73365929846658,42.73365929846658
3655,81.43207743700766,81.43207743700766
3656,19.069898651404124,19.069898651404124
3657,64.55771700376435,64.55771700376435
3658,114.78790789550285,114.78790789550285
3659,163.77625371616477,163.77625371616477
3660,976.1388360112423,630.4720191963826
3661,1000.6813935177147,654.2371741872751
3662,12.994032632741723,12.994032632741723
3663,33.24735920076895,33.24735920076895
3664,55.028204707683926,55.028204707683926
3665,1034.764076003888,687.5546213725466
3666,1079.193008456916,730.9458656175294
3667,1087.785382233991,739.0508637912498
3668,277.96323632922383,277.96323632922383
3669,335.44080952689615,335.44080952689615
3670,357.2397136992359,357.2397136992359
3671,11.715913258764731,11.715913258764731
3672,55.49548272788462,55.49548272788462
3673,1491.6851998299128,1137.842973041819
3674,1568.158792880945,1213.221976888747
3675,1625.4779643761574,1270.5816784558958
3676,1656.017969757243,1301.8646381913923
3677,13.617352891323547,13.617352891323547
3678,41.79684626276194,41.79684626276194
3694,9.878562078636493,9.878562078636493
3695,34.62667152740397,34.62667152740397
3696,42.41654473999516,42.41654473999516
3697,4.298532678304529,4.298532678304529
3698,9.764251229017525,9.764251229017525
3700,5.3147647836915155,5.3147647836915155
3705,1807.3431307438625,1456.5615458601778
3706,1807.3431307438625,1456.5615458601778
