ID,q_cfs_no_da
589,4.9082468582946035
590,3.4902397524315236
591,11.16892349680694
592,2.6884134001867173
593,0.09010889111985175
594,13.613939004102402
595,1.8866863309831605
596,25.046771912547936
597,0.49520707681985743
598,31.059683952960153
599,0.12444182159931141
600,7.08597080435983
601,32.55604768179312
602,45.98752444163503
603,0.5751221812466527
604,2.2608206311780856
605,36.32147632310554
606,40.824001429780715
607,1.7836016188078498
608,1.9085215594386158
609,4.9748362698554045
610,5.7756040136527504
611,17.91142988160524
612,18.90821429954117
613,2.239190512098085
614,4.459682903627265
615,4.097306078735166
616,5.128889981124194
617,1.6288501993851423
618,2.8431133011799954
619,2.418583004289817
620,3.5768073154391518
621,51.61928695611252
622,52.210346380087714
623,54.163304085649415
624,54.439127879530474
625,54.439127879530474
628,44.643285096283165
629,45.60498114418258
630,2.412434226933742
631,5.611977191217199
