ID,q_cfs_no_da
589,4.89719897180876
590,3.465622091735437
591,11.15932489968466
592,2.6654722421502597
593,0.089453529967476
594,13.60530434154028
595,1.8821231305106156
596,25.040347959116147
597,0.49385084169644283
598,31.047467027159545
599,0.12311969750460061
600,7.082203752473221
601,32.542693878742156
602,45.97545137515944
603,0.5706063771189304
604,2.255929112582671
605,36.30763836392997
606,40.814136640315496
607,1.7787461134811282
608,1.9035465357096384
609,4.967336566785721
610,5.767989227425038
611,17.903327244927357
612,18.89687073117881
613,2.2349831643834666
614,4.45348280178189
615,4.086607803702592
616,5.12254381959058
617,1.6250091490957677
618,2.837151971856923
619,2.412767077217015
620,3.571643480740089
621,51.61904083913944
622,52.206216284231964
623,54.158276752792275
624,54.429582911205294
625,54.429582911205294
628,44.62898970261396
629,45.58806436886919
630,2.4095736256362486
631,5.604607330021539
