,5781289,5781881
2024-07-19 23:58:00+00:00,0.0,0.0
2024-07-20 00:00:00+00:00,0.08603669400657148,0.08603669400657148
2024-07-20 00:02:00+00:00,0.1689881010127164,0.1689881010127164
2024-07-20 00:04:00+00:00,0.24896489009377015,0.24896489009377015
2024-07-20 00:06:00+00:00,0.3260737606314111,0.3260737606314111
2024-07-20 00:08:00+00:00,0.4004175847063541,0.4004175847063541
2024-07-20 00:10:00+00:00,0.47209554438342616,0.47209554438342616
2024-07-20 00:12:00+00:00,0.5412032640722337,0.5412032640722337
2024-07-20 00:14:00+00:00,0.6078329381400598,0.6078329381400598
2024-07-20 00:16:00+00:00,0.6720734539472943,0.6720734539472943
2024-07-20 00:18:00+00:00,0.7340105104695892,0.7340105104695892
2024-07-20 00:20:00+00:00,0.7937267326650448,0.7937267326650448
2024-07-20 00:22:00+00:00,0.8513017817390497,0.8513017817390497
2024-07-20 00:24:00+00:00,0.9068124614539287,0.9068124614539287
2024-07-20 00:26:00+00:00,0.9603328206252679,0.9603328206252679
2024-07-20 00:28:00+00:00,1.0119342519417034,1.0119342519417034
2024-07-20 00:30:00+00:00,1.0616855872400492,1.0616855872400492
2024-07-20 00:32:00+00:00,1.1096531893629111,1.1096531893629111
2024-07-20 00:34:00+00:00,1.1559010407213741,1.1559010407213741
2024-07-20 00:36:00+00:00,1.20049082868095,1.20049082868095
2024-07-20 00:38:00+00:00,1.243482027884735,1.243482027884735
2024-07-20 00:40:00+00:00,1.2849319796236438,1.2849319796236438
2024-07-20 00:42:00+00:00,1.3248959683596329,1.3248959683596329
2024-07-20 00:44:00+00:00,1.3634272955040438,1.3634272955040438
2024-07-20 00:46:00+00:00,1.400577350549519,1.400577350549519
2024-07-20 00:48:00+00:00,1.4363956796504211,1.4363956796504211
2024-07-20 00:50:00+00:00,1.4709300517432753,1.4709300517432753
2024-07-20 00:52:00+00:00,1.5042265222954763,1.5042265222954763
2024-07-20 00:54:00+00:00,1.5363294947673312,1.5363294947673312
2024-07-20 00:56:00+00:00,1.567281779869464,1.567281779869464
2024-07-20 00:58:00+00:00,1.5971246526946585,1.5971246526946585
2024-07-20 01:00:00+00:00,1.625897907800386,1.625897907800386
2024-07-20 01:02:00+00:00,1.653639490070267,1.653639490070267
2024-07-20 01:04:00+00:00,1.6803864055522886,1.6803864055522886
2024-07-20 01:06:00+00:00,1.7061743328895282,1.7061743328895282
2024-07-20 01:08:00+00:00,1.7310376709340942,1.7310376709340942
2024-07-20 01:10:00+00:00,1.7550095846531586,1.7550095846531586
2024-07-20 01:12:00+00:00,1.778122049388342,1.778122049388342
2024-07-20 01:14:00+00:00,1.8004058935275153,1.8004058935275153
2024-07-20 01:16:00+00:00,1.8218908396459699,1.8218908396459699
2024-07-20 01:18:00+00:00,1.8426055441718519,1.8426055441718519
2024-07-20 01:20:00+00:00,1.8625776356288044,1.8625776356288044
2024-07-20 01:22:00+00:00,1.8818337515068433,1.8818337515068433
2024-07-20 01:24:00+00:00,1.90039957381068,1.90039957381068
2024-07-20 01:26:00+00:00,1.918299863332927,1.918299863332927
2024-07-20 01:28:00+00:00,1.935558492697924,1.935558492697924
2024-07-20 01:30:00+00:00,1.9521984782202877,1.9521984782202877
