ID,q_cfs_da,q_cfs_no_da
5671171,9474.44260718603,19330.9549023238
5671165,9474.44260718603,19330.9549023238
5671187,4503.178951071353,14442.636764068437
5671185,5485.485900899871,13432.715701246445
5671181,6417.461498965286,11400.223132853256
5671189,5342.771069305688,9501.878688581126
5671619,2619.9071519028516,5806.641596528686
5671143,2742.3743266194897,4726.897987807689
5671117,2996.6178170423877,4140.976231043155
5671065,3575.591689798221,4115.92433250057
5671049,3849.302364028579,3888.8563568648683
5671593,3320.509040352075,3344.371954670059
5671589,1294.5329616490853,1294.7364223715456
5671169,5281.3670337446365,5281.3670337446365
5671153,4876.256200891856,4876.256200891856
5671151,4208.372918377515,4208.372918377515
5671735,3775.0416640257217,3775.0416640257217
5671119,3709.960988027989,3709.960988027989
5671607,3259.9025824494524,3259.9025824494524
5671061,717.2391902792452,717.2391902792452
5671701,665.1301467897468,665.1301467897468
5671585,615.4117423749113,615.4117423749113
5671139,175.21574303116475,175.21574303116475
5671149,485.8342472923348,485.8342472923348
5671731,475.63678065939774,475.63678065939774
5671113,219.88798355331213,219.88798355331213
5671603,503.56947144491687,503.56947144491687
5671071,1366.741643333458,1366.741643333458
5671713,1218.419767135682,1218.419767135682
5671079,1159.743120631109,1159.743120631109
5671177,394.2404046854732,662.5810419890474
5671741,782.6254059333804,788.4672752498068
5671163,787.9547745289879,792.1520936183517
5671063,180.27579680894996,180.56041964045647
5671705,117.84630843445923,117.8472423454888
5671053,16.532179962067946,16.55821104567182
5671595,1031.3761165562933,1032.1221290939745
5671095,3.4843696234617743,8.34893527138749
5671055,540.6674746808123,552.3320256947337
5671703,528.9384993429089,539.0720879549126
5671103,489.6068745440099,498.30170063969035
5671125,1120.888424222143,1423.434419994862
5671725,1152.482868196376,1287.1414121146388
5671605,973.520926330914,1080.9843762387159
5671155,719.735596292332,971.9178278981457
5671173,655.087379418266,705.999229489459
5671159,234.49433839548502,237.4442357288149
5671147,13.76413274162514,20.180722772430567
5671621,2027.9517148762873,2071.4456092887604
5671753,1728.2397734307456,1743.5671414633553
5671219,1726.1095301407154,1736.4339350579887
5672881,1479.6947662356122,1485.9166646887859
5673175,582.0939240792904,582.0939240751743
5673171,786.0847601240873,786.0847609183103
5672901,537.9369109396102,537.9369109368529
5673173,620.2759821851182,620.275982204433
5672885,806.1781854637665,806.1781748394642
5672891,619.6981224153395,619.6981212848128
5672883,650.2792165583822,655.2825331273557
5671221,558.5731493054599,562.9632981573678
5671217,669.8601701361512,2118.9233117932613
5672889,1247.2740283114404,1627.0618213498972
5672909,838.7196343530792,1157.584172276154
5673155,784.4157696698398,852.5896923171168
5673179,702.6595448446408,746.2257131808046
5673157,706.6948826859815,745.9921064335202
5673153,117.07602300621808,180.19389661292672
5673151,490.48182464800664,525.5132508251199
5673177,449.7861065263812,472.9596922090122
5673159,454.37146638533716,473.69927023003476
5671191,584.0176477250037,770.4567674083725
5674167,81.86018769731878,86.79229823966458
5672895,81.69921499021703,85.85979463150895
5671213,146.7704527564162,187.07409324411924
5672903,129.38043007760228,149.25918293540172
5671215,445.79550332596835,572.8477034210655
5671697,1067.7182577057176,1068.5158518197786
5671695,1538.7478064995632,1539.0205068194693
5671693,2733.0548451405434,2734.2246713103214
5671749,654.9483309232896,709.8735211140496
5671747,237.73468333469347,241.42886404397342
5671745,882.4373672614703,950.0320758044945
5671739,890.6638029453269,974.9877297777161
5671737,28.07600134606322,43.96969664228588
5781285,9351.679315720203,15515.530225218325
5781257,5479.583802697525,10703.701273503752
5781235,5977.368542482602,10792.90077135763
5781217,5420.659202577506,9814.95081648423
5781167,8547.05134460357,8789.492774748158
5781155,6400.0731470288365,6376.493256324825
5781143,3379.895161396889,3348.7714468903473
5781135,2506.134943640942,2487.3556995144763
5781127,1120.2490532970983,1109.1908979953223
5781329,21426.10318179979,59935.26028129806
